grid,n_pfs,AC-OPF_wall,AC-OPF_wall_s,AC-OPF_wall_us,AC-OPF_p,AC-OPF_fail,DC-OPF_wall,DC-OPF_wall_s,DC-OPF_wall_us,DC-OPF_p,DC-OPF_fail,AC-PF_wall,AC-PF_wall_s,AC-PF_wall_us,AC-PF_p,AC-PF_fail,DC-PF_wall,DC-PF_wall_s,DC-PF_wall_us,DC-PF_p,DC-PF_fail,best_p
case14_ieee,4000000,12.2m,730.02926,182.507315,152,0,3.1m,185.620352,46.405088,152,0,34.8s,34.807477,8.70186925,120,0,23.5s,23.46128,5.86532,72,0,152/152/120/72
case30_ieee,3000000,15.9m,956.12057,318.7068566666667,152,600,3.1m,183.301597,61.100532333333334,152,0,43.6s,43.633424,14.544474666666666,152,0,23.5s,23.477255,7.825751666666666,104,0,152/152/152/104
case57_ieee,2000000,20.9m,1256.265396,628.132698,152,0,3.8m,226.366525,113.1832625,168,0,44.5s,44.456235,22.2281175,168,0,22.5s,22.465797,11.2328985,136,0,152/168/168/136
case118_ieee,2000000,1.15h,4146.227971,2073.1139855,184,0,8.8m,527.147406,263.573703,152,200,1.9m,113.321145,56.6605725,168,0,45.5s,45.47756,22.73878,152,0,184/152/168/152
case500_goc,500000,1.58h,5703.461532,11406.923064,200,100,9.2m,550.563437,1101.126874,200,250,2.3m,136.113877,272.227754,184,0,48.4s,48.430411,96.860822,152,0,200/200/184/152
case2000_goc,50000,58.6m,3514.860662,70297.21324,216,0,4.4m,265.377907,5307.55814,184,15,11.4m,686.294401,13725.88802,168,0,24.2s,24.173122,483.46243999999996,152,0,216/184/168/152
case10000_goc,10000,1.49h,5378.530446,537853.0445999999,200,7,6.0m,357.968571,35796.8571,216,3,10.7m,640.795572,64079.557199999996,200,0,25.3s,25.324038,2532.4038,152,0,200/216/200/152
