pt_index,mean_p_residual_lossless,mean_p_residual_full_y
65,1.5576770728696765,1.5439996586230158
599,1.6744705221358986,1.5930996228453453
775,1.4557066036451396,1.4544992210068597
1075,1.6515159536816078,1.6443560157806616
1171,1.6373510989740283,1.6251089556336535
1174,1.6341687630602473,1.6219266197198732
1404,1.6494098804745452,1.6468272327198124
1760,2.05172899713895,2.05067069967755
1782,1.8620594139814994,1.8555484717842372
1812,1.6471042784257888,1.6402730506230043
2180,1.7901534736526366,1.7803829101267512
2665,2.2230331731203847,2.1576900143180597
3075,1.9211192915425013,1.913984576863535
3183,1.8510902754296643,1.8411259044726263
3219,2.0945666805712593,2.040658439722377
3501,2.3353597613031987,2.33463558599446
3575,2.263090604010995,2.262645766012235
3615,2.3224266224692256,2.250078885165857
3926,2.0899785334613736,2.089407686966526
4579,2.0619612979582587,2.055866041990083
4835,1.981613153451272,1.9788592784607504
5268,2.0674329849069735,2.059358912981563
5367,2.0371998784517165,1.9617754279289197
5630,1.8301810010595927,1.8247650275493525
6016,1.915656547129222,1.909769115560806
6114,1.4749183648255932,1.4416037763822875
6196,1.5754569362343636,1.5683478875867645
6211,1.6590715073028524,1.6560688878183056
7347,1.6245139322764903,1.6216386989505014
7465,1.9533917371602454,1.93635992827476
7852,1.804268885927287,1.8006092994557676
8094,1.83787209228898,1.75662496233611
8767,1.6371891096910565,1.635234352072481
8821,1.590700553081323,1.5853765954109507
8870,1.5927835819300673,1.5845709598637174
8915,1.6712328480743515,1.6585226629456957
8963,1.811379316745953,1.8092438784969787
9130,1.4580274196999432,1.4456995375821569
9412,1.810587370019527,1.8029941915463041
9433,1.78408945823831,1.7781616820350246
9473,1.7530088273141713,1.7417866565492088
10335,1.5385601292761661,1.5246260988548146
10416,1.667263175867685,1.6568654105519842
10602,1.5836511739206973,1.577919303230025
10624,1.6420125506682473,1.6335647749272473
10637,1.8111520357002127,1.8049111199120034
10908,1.5329439148920525,1.5272728920202767
11385,1.7947500386370943,1.721733883728752
11623,1.4773093736770486,1.4630222670726503
12062,1.672973057867903,1.6719750728669502
12108,1.458517990589582,1.4581632685532073
12353,1.6470768242707428,1.63337120994465
12817,1.6020849498016245,1.5928597120021437
13026,1.6046281350236955,1.5968152010582513
13105,1.744889552310683,1.7163888588431548
13367,1.3119466204894306,1.3011118449352939
13784,1.9522797952164774,1.87862658163084
14009,1.6750366282174518,1.6666888462794653
14255,1.6545045468258872,1.5809920178562624
14310,1.7329678793418697,1.729001326420901
14470,1.745621786000449,1.7301196585253233
14604,1.600886655745211,1.5920879245181632
14812,1.6834435818011089,1.6615630007820839
14890,1.8442282601637825,1.8328601595471896
15415,1.873576065591038,1.8531851867881424
15837,1.5282239117709133,1.5225507731893413
15946,2.135244447389289,2.1302290427321546
15962,2.1729838564207054,2.1417690060849157
16124,2.011543557078631,2.002430408165216
16173,1.9422671900717743,1.9408914068597172
16176,1.9443514620507645,1.9429756788387071
16459,1.5795354471644187,1.570650393078027
16505,1.8084724286770706,1.805006553539431
17011,1.7939498502686413,1.7116126629776671
17223,1.761942043923738,1.6584913175364824
17354,1.6597329811201509,1.6542672610189504
17590,1.6663065884469044,1.5577966827635734
17979,1.8084175048276832,1.7660543198036256
18031,1.7813945206110393,1.7722594041225248
18176,1.5607093722067895,1.5441903105103105
18386,1.9592309695620223,1.9552548956924762
18511,1.7781113986309758,1.7704313792250723
18870,1.5472660774631883,1.5338961767675772
19030,1.835225382935131,1.7612362666020311
19035,1.830324011502425,1.7563348951693256
